rsi,rsi_umbral,rsi_distancia,rsi_distancia_rel,volatilidad,tp_pct,sl_pct,tp_sl_ratio,vol_tp_interac,spread_tp_sl,log_precio,monto,es_btc,es_eth,hora,mes,es_ny_night,ganancia_neta,target
21.2,40.0,18.8,0.47000000000000003,4.28,3.42,7.444225859110132,0.45941647455721074,14.6376,7.698949039224648,8.332813518152811,5.0,0,1,10,9,0,-0.01,0
27.7,30.0,2.3000000000000007,0.07666666666666669,2.29,1.83,4.051436297958999,0.45169166325579485,4.1907000000000005,4.125725778330726,11.636082125696198,5.0,1,0,15,9,0,0.02,1
38.2,40.0,1.7999999999999972,0.04499999999999993,3.98,3.18,6.937893548449758,0.4583523771001873,12.656400000000001,7.1586234238889475,8.409538936036512,5.0,0,1,9,10,0,0.06,1
25.2,30.0,4.800000000000001,0.16000000000000003,2.68,2.14,4.7243197913129364,0.4529752630071794,5.735200000000001,4.825643764909558,11.70828383864048,5.0,1,0,18,10,0,0.02,1
23.7,30.0,6.300000000000001,0.21000000000000002,3.01,2.41,5.289191544711736,0.4556461946267719,7.2541,5.41652059554093,11.719935081498662,5.0,1,0,18,10,0,0.04,1
31.4,40.0,8.600000000000001,0.21500000000000002,4.03,3.22,7.028773996321203,0.4581168780907338,12.976600000000001,7.255429816859279,8.408997549472176,5.0,0,1,19,10,0,0.02,1
22.5,40.0,17.5,0.4375,4.0,3.2,6.971532300386263,0.459009563768743,12.8,7.194445800835425,8.413036395441544,5.0,0,1,21,10,1,0.02,1
30.0,30.0,0.0,0.0,2.88,2.3,5.067908295504619,0.4538361520945764,6.624,5.184688454951026,11.725355753672835,5.0,1,0,7,10,0,0.01,1
38.2,40.0,1.7999999999999972,0.04499999999999993,4.05,3.24,7.063840024555434,0.45867403405754664,13.122,7.292799698524299,8.448991435486263,5.0,0,1,8,10,0,0.02,1
29.5,30.0,0.5,0.016666666666666666,2.75,2.2,4.837322915121134,0.454797010371781,6.050000000000001,4.943606653953972,11.728983815423563,5.0,1,0,9,10,0,-0.01,0
28.9,30.0,1.1000000000000014,0.036666666666666715,2.92,2.34,5.137154680834987,0.45550506951440656,6.8328,5.257185637915419,11.717704292309607,5.0,1,0,14,10,0,0.05,1
30.2,40.0,9.8,0.24500000000000002,4.47,3.58,7.774309025199688,0.4604910852393143,16.0026,8.052544442696014,8.414493576863382,5.0,0,1,15,10,0,0.02,1
39.2,40.0,0.7999999999999972,0.019999999999999928,4.23,3.38,7.35858238236572,0.4593276020256173,14.297400000000001,7.607380314628758,8.392269219858473,5.0,0,1,2,10,1,0.04,1
24.9,30.0,5.100000000000001,0.17000000000000004,2.85,2.28,5.020831913127511,0.45410801226758696,6.497999999999999,5.135428005653527,11.71100635523458,5.0,1,0,7,10,0,0.03,1
37.5,40.0,2.5,0.0625,10.16,5.0,9.523809523809524,0.525,50.8,10.0,8.315174921716975,5.0,0,1,15,10,0,0.03,1
